Year,Account,Asset,Invested,Weight,Return (Nominal),Inflation Rate,Return (Inflation Adjusted),Gross Gain,Tax,Net Gain,End Value,TOTAL ASK Cap (DKK),Goal B Allocation (%),Goal B Amount Taken (DKK),Goal B Utility Net Δ,Goal B Utility Loss,Goal B Value Now,Goal B Utility φ_before,Goal B Utility φ_after,Goal C Allocation (%),Goal C Amount Taken (DKK),Goal C Utility Net Δ,Goal C Utility Loss,Goal C Value Now,Goal C Utility φ_before,Goal C Utility φ_after,Goal D Allocation (%),Goal D Amount Taken (DKK),Goal D Utility Net Δ,Goal D Utility Loss,Goal D Value Now,Goal D Utility φ_before,Goal D Utility φ_after,Goal A Allocation (%),Goal A Amount Taken (DKK),Goal A Utility Net Δ,Goal A Utility Loss,Goal A Value Now,Goal A Utility φ_before,Goal A Utility φ_after
2037,NORMAL,Emerging Markets State - Obligations,251691.8873,0.028408588,0.0343,0.02,0.02,5033.837746,1824.022033,3209.815713,254901.703,694073.3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,NORMAL,High Yield Bonds - Obligations,53346.91699,0.006021293,0.0343,0.02,0.02,1066.93834,386.6074233,680.3309166,54027.24791,694073.3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,NORMAL,Investment Grade Bonds - Obligations,111772.3019,0.012615795,0.0343,0.02,0.02,2235.446039,810.0187242,1425.427314,113197.7292,694073.3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,NORMAL,Government ZC Bonds - Obligations,8229792.682,0.928900792,0.0343,0.02,0.02,164595.8536,59641.66483,104954.1888,8334746.871,694073.3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,ASK,Emerging Markets - Equities,46603.71,0.00514859,0.063,0.02,0.02,932.0742,158.452614,773.621586,47377.33159,781873.6339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,NORMAL,Emerging Markets - Equities,173489.16,0.019166382,0.063,0.02,0.02,3469.7832,1261.348549,2208.434651,175697.5947,781873.6339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,ASK,Developed Markets - Equities,41196.57,0.004551231,0.063,0.02,0.02,823.9314,140.068338,683.863062,41880.43306,781873.6339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,NORMAL,Developed Markets - Equities,153360.29,0.016942625,0.063,0.02,0.02,3067.2058,1115.002109,1952.203691,155312.4937,781873.6339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,NORMAL,Emerging Markets State - Obligations,42749.48674,0.004722791,0.0343,0.02,0.02,854.9897349,310.809062,544.1806729,43293.66742,781873.6339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,NORMAL,High Yield Bonds - Obligations,78520.54239,0.008674632,0.0343,0.02,0.02,1570.410848,570.8816172,999.5292305,79520.07162,781873.6339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,NORMAL,Investment Grade Bonds - Obligations,243957.4141,0.02695143,0.0343,0.02,0.02,4879.148283,1773.686208,3105.462074,247062.8762,781873.6339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,NORMAL,Government ZC Bonds - Obligations,8271865.784,0.91384232,0.0343,0.02,0.02,165437.3157,60140.39094,105296.9247,8377162.708,781873.6339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,ASK,Emerging Markets - Equities,56613.9,0.006122514,0.063,0.02,0.02,1132.278,192.48726,939.79074,57553.69074,880780.6486,,,,,,,,,,,,,,,11.23595506,300000,0.144,0,0.144,1,1,,,,,,,
2039,NORMAL,Emerging Markets - Equities,84182.62,0.009103935,0.063,0.02,0.02,1683.6524,613.9600513,1069.692349,85252.31235,880780.6486,,,,,,,,,,,,,,,11.23595506,300000,0.144,0,0.144,1,1,,,,,,,
2039,ASK,Developed Markets - Equities,42293.11,0.004573791,0.063,0.02,0.02,845.8622,143.796574,702.065626,42995.17563,880780.6486,,,,,,,,,,,,,,,11.23595506,300000,0.144,0,0.144,1,1,,,,,,,
2039,NORMAL,Developed Markets - Equities,62888.18,0.006801046,0.063,0.02,0.02,1257.7636,458.6556016,799.1079984,63687.288,880780.6486,,,,,,,,,,,,,,,11.23595506,300000,0.144,0,0.144,1,1,,,,,,,
2039,NORMAL,Emerging Markets State - Obligations,99202.57581,0.010728269,0.0343,0.02,0.02,1984.051516,723.5034801,1260.548036,100463.1238,880780.6486,,,,,,,,,,,,,,,11.23595506,300000,0.144,0,0.144,1,1,,,,,,,
2039,NORMAL,High Yield Bonds - Obligations,165372.4759,0.017884217,0.0343,0.02,0.02,3307.449517,1206.093298,2101.35622,167473.8321,880780.6486,,,,,,,,,,,,,,,11.23595506,300000,0.144,0,0.144,1,1,,,,,,,
2039,NORMAL,Investment Grade Bonds - Obligations,797.2562704,8.62E-05,0.0343,0.02,0.02,15.94512541,5.814543438,10.13058197,807.3868524,880780.6486,,,,,,,,,,,,,,,11.23595506,300000,0.144,0,0.144,1,1,,,,,,,
2039,NORMAL,Government ZC Bonds - Obligations,8735488.972,0.944700009,0.0343,0.02,0.02,174709.7794,63709.6025,111000.1769,8846489.149,880780.6486,,,,,,,,,,,,,,,11.23595506,300000,0.144,0,0.144,1,1,,,,,,,
2040,ASK,Emerging Markets - Equities,49217.92,0.005377243,0.063,0.02,0.02,984.3584,167.340928,817.017472,50034.93747,992199.4006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
